"drag_coef-rfile"
"Iteration" "drag_coef"
("Iteration" "drag_coef")
1 17.46587374817438
2 8.617191216734309
3 4.133421302429545
4 2.084171139651322
5 1.088200048872936
6 0.5875554877543143
7 0.32857860219876
8 0.2001278577257846
9 0.1450843852085817
10 0.1330957117242897
11 0.1364985711951867
12 0.136095115687629
13 0.1304879000854614
14 0.1323194414723328
15 0.149166639073273
16 0.1544483522999699
17 0.1378026434377955
18 0.1180735433251006
19 0.09868180362217624
20 0.09421163902225925
21 0.1197343668390734
22 0.1596534894662606
23 0.1758515002278759
24 0.151096389354063
25 0.1121339409804806
26 0.09319516930861522
27 0.09491674354954394
28 0.1253364758842459
29 0.1743684323659151
30 0.2105050160250737
31 0.1950201746427301
32 0.1458622075329466
33 0.1133453973716307
34 0.09678788646559834
35 0.1010177497686113
36 0.1252841475340835
37 0.1647031013097411
38 0.2046423842455926
39 0.2148573741694322
40 0.1832849704980416
41 0.1370297419522105
42 0.1080522338566281
43 0.08832821490443307
44 0.08776834869929905
45 0.1040647077462925
46 0.1330219042385145
47 0.166575468396659
48 0.1876075006452118
49 0.1804528857556573
50 0.1534357164227872
51 0.1306836426807895
52 0.1182029195407642
53 0.1037308058700403
54 0.1047850565880721
55 0.1199279413048256
56 0.1435767133650385
57 0.1681799862198479
58 0.1778326646258136
59 0.1596491950621886
60 0.1278025125721551
61 0.1070847659678912
62 0.09326249546038919
63 0.09233370745137937
64 0.1059913004490255
65 0.1307831718318686
66 0.1604678973773099
67 0.1773211671392883
68 0.1658689098273258
69 0.1366348597686979
70 0.1151668909916407
71 0.0996715494969057
72 0.090901193807957
73 0.09769415630284635
74 0.1179455527645593
75 0.1463776163181484
76 0.1687762798101108
77 0.1633793776891525
78 0.1357102883603544
79 0.1103085932389263
80 0.09694100808486475
81 0.0873830829869925
82 0.09035782016003215
83 0.1023735635623498
84 0.1203125484717485
85 0.1348583049052579
86 0.1334861545263894
87 0.117329297345959
88 0.1020107708342368
89 0.09184551153693069
90 0.08347600508868266
91 0.08368238331917005
92 0.08796453793477166
93 0.09040491539339239
94 0.08864689615873143
95 0.08393170729301873
96 0.07769002626762171
97 0.07067102784019764
98 0.06591906663959508
99 0.06295864799668494
100 0.06000757462227325
101 0.05682520724750115
102 0.05409567494254856
103 0.05171896864892471
104 0.04986520043952215
105 0.04832609000309979
106 0.04693822556961787
107 0.04580657301046246
108 0.04490076139188622
109 0.04417672049455867
110 0.0435791480727054
111 0.04320287403904932
112 0.04296761540224199
113 0.04285711223112858
