"lift_coef-rfile"
"Iteration" "lift_coef"
("Iteration" "lift_coef")
1 -2.474622963848833
2 -1.209369024780347
3 -0.3533088787571134
4 0.0857304850649299
5 0.2619163663138122
6 0.2455211729379591
7 0.1978191856635115
8 0.1696513569884057
9 0.1601520863939163
10 0.1353842327888421
11 0.07801784083566315
12 0.008755717852784631
13 0.01182320205137816
14 -0.04980883094149586
15 -0.07867446965292589
16 0.002421871592493101
17 0.1701114580639533
18 0.3125326801954234
19 0.3892043856240447
20 0.3992126456486238
21 0.3043804072960776
22 0.08151469223115762
23 -0.1490727594866783
24 -0.2295095788653909
25 -0.1387499846770117
26 -0.01750911431033075
27 0.1251024273785603
28 0.266901577459244
29 0.368873682177479
30 0.4122332920721529
31 0.3684845892492501
32 0.2014048485296053
33 -0.017591031299036
34 -0.1601761190269288
35 -0.1043379941379209
36 -0.007637673029190688
37 0.1187732583402542
38 0.2634044745789679
39 0.3746547607785339
40 0.4435322722350732
41 0.4593464539314246
42 0.4036493536595504
43 0.2528764810913924
44 0.04421513834217455
45 -0.1210055382471293
46 -0.1146121684900755
47 -0.07970686046940244
48 -0.07585900656355643
49 -0.001936115686219221
50 0.1360493260127677
51 0.2530847209805236
52 0.3021630106160797
53 0.2981018272714381
54 0.2836474909829184
55 0.2944591206348092
56 0.3432097076155122
57 0.4193441635006589
58 0.4955857647686263
59 0.5550619116059633
60 0.5968322950548588
61 0.6251811774560896
62 0.6437954679685065
63 0.6551752548962446
64 0.6614866946326499
65 0.6638897230403525
66 0.6634373209865567
67 0.6609387550541385
68 0.6568884109695737
69 0.6518516455766824
70 0.6464079175808167
71 0.6409229831927338
72 0.6357239877009071
73 0.6310090359249639
74 0.6268997042147243
75 0.6234365253692939
76 0.620608134757662
