"drag_coef-rfile"
"Iteration" "drag_coef"
("Iteration" "drag_coef")
1 28.23134785890674
2 13.39438172802198
3 6.415137850287277
4 3.20870660906316
5 1.651530231445291
6 0.8696189224163797
7 0.4719753082602232
8 0.2686027777404978
9 0.174086166694124
10 0.1356534708676368
11 0.1173700104069027
12 0.1016087993244991
13 0.09349164068372656
14 0.08427259693996435
15 0.07409299660034495
16 0.07067486812780208
17 0.07872919063484704
18 0.09380121372077968
19 0.1148848006978421
20 0.1416861652489793
21 0.1609416220160336
22 0.1523729522338034
23 0.1188581665590976
24 0.08403113257647046
25 0.06714915419826252
26 0.05742262345650208
27 0.06085843918383058
28 0.07401530672262545
29 0.09308218948023857
30 0.1180000157092642
31 0.1426199194520809
32 0.1526398310596408
33 0.136021532557852
34 0.1036984908983036
35 0.08135879047439455
36 0.06382401868594229
37 0.05860837086935367
38 0.06515547158535721
39 0.08060175693366768
40 0.1025510771874473
41 0.1274457757361903
42 0.1492504118868211
43 0.1565230320107521
44 0.1399605162544101
45 0.1113580105324698
46 0.09428138101791519
47 0.08070065894286273
48 0.06499758949315446
49 0.05818151110569844
50 0.05942184568510991
51 0.06147725433114896
52 0.06085468991747497
53 0.05706977823196431
54 0.05119065427669432
55 0.04492160441528002
56 0.04026072445152554
57 0.037885210427978
58 0.03645793391637226
59 0.0353045753771745
60 0.03421004971542771
61 0.03321105659889732
62 0.03231577256292985
63 0.03156807041065408
64 0.03092041346605883
65 0.03040389659163249
66 0.02999500560361413
67 0.02968672817948723
68 0.02947849700813285
69 0.02933498635093202
70 0.02924910310991698
71 0.0292142002013356
72 0.02921564057460108
73 0.0292452064271379
74 0.02929195076820081
75 0.02935026978520996
76 0.02940883003588354
