"lift_coef-rfile"
"Iteration" "lift_coef"
("Iteration" "lift_coef")
1 -1.57136457473411
2 -10.24785684320368
3 -2.248135714461487
4 1.73088753257003
5 3.583897000479444
6 3.95229897682607
7 3.185717176667113
8 2.333562535156255
9 1.498953306180149
10 0.8997485088625612
11 0.5523869922801226
12 0.3542777238202874
13 0.2707443253002905
14 0.2661181639161008
15 0.297193691465318
16 0.311195644002779
17 0.2844670459568235
18 0.2075823045815098
19 0.1116010354171097
20 0.05210396553331255
21 0.06461990214186029
22 0.1324106088605148
23 0.2449621696522794
24 0.3591502811166897
25 0.4329571126120055
26 0.4498412895200568
27 0.4186062647997759
28 0.3624442933511789
29 0.2987771184918765
30 0.2444291693579754
31 0.2073625226516922
32 0.1860226556543499
33 0.1748717918969693
34 0.1707072817337958
35 0.1748845285778207
36 0.2089301781919359
37 0.272598720537112
38 0.3390802577148545
39 0.3774234874451919
40 0.3826467595742887
41 0.3597028437785801
42 0.3244121838165001
43 0.2808675131195916
44 0.2451364595135022
45 0.2346914605802834
46 0.2581139979297358
47 0.3006192859303287
48 0.3421691152409435
