"drag_coef-rfile"
"Iteration" "drag_coef"
("Iteration" "drag_coef")
1 -12.38112394334807
2 -7.29783601130666
3 -2.534423514689172
4 -0.6838081562827206
5 0.0761000816595036
6 0.3360720134815204
7 0.318501949201774
8 0.2440218752851116
9 0.1572283840147806
10 0.1079385466934771
11 0.08295367503689545
12 0.07359049092285441
13 0.07287831210230487
14 0.07977306899824549
15 0.09248531205844898
16 0.1072830505587633
17 0.1198288468973548
18 0.1230488976578954
19 0.1146037830490198
20 0.1001051322187008
21 0.08841412228182491
22 0.08210385076566307
23 0.08329840722904283
24 0.08826529438161033
25 0.0927045498770475
26 0.09563743145028479
27 0.09842796726767397
28 0.1010792303399145
29 0.1034044094505696
30 0.1039261726577009
31 0.1025091419209152
32 0.09858018198525989
33 0.09269429797001398
34 0.08635166000026925
35 0.08165795968661363
36 0.08137972997120634
37 0.0844968648083011
38 0.08840073463842507
39 0.09134632568406567
40 0.09317570002658267
41 0.09355170704165668
42 0.09258355319330389
43 0.08969301919182078
44 0.08568983564050119
45 0.08248137130402225
46 0.08141582955529783
47 0.08188456154916919
48 0.08259311526589623
